"GTEX.11DXY.0526.SM.5EGGQ" "GTEX.11DXZ.0126.SM.5EGGY" "GTEX.11EQ9.0526.SM.5A5JZ" "GTEX.11GSP.0626.SM.5986T" "GTEX.11NUK.1226.SM.5P9GM" "GTEX.11NV4.1326.SM.5HL6V" "GTEX.11OF3.0726.SM.5BC4Z" "GTEX.11TT1.1726.SM.5EQLJ" "GTEX.11TUW.1726.SM.5BC5C" "GTEX.11WQC.0726.SM.5EQMR" "GTEX.11ZTS.1426.SM.5EQMM" "GTEX.11ZUS.2526.SM.59872" "GTEX.11ZVC.0726.SM.5FQT9" "GTEX.1212Z.0226.SM.59HLF" "GTEX.12696.0826.SM.5EGGE" "GTEX.1269C.0626.SM.5FQSS" "GTEX.12KS4.1326.SM.5LUB3" "GTEX.12WSD.1426.SM.5GCN9" "GTEX.12WSG.0626.SM.5FQTQ" "GTEX.12WSI.0226.SM.5GCNA"
"ENSG00000214391" 3 5 4 3 1 2 7 14 5 1 7 2 0 7 12 2 6 3 9 3
"ENSG00000223101" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000266703" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000221586" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000254677" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0
"ENSG00000255070" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000255187" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000255332" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000254961" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000242248" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000235547" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0
"ENSG00000165323" 6 12 54 57 23 9 23 6 7 11 60 9 19 9 2 39 40 125 22 12
"ENSG00000249255" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000254705" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000244244" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000255506" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000255127" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000255287" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000254874" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"ENSG00000134640" 0 0 0 0 0 0 0 1 0 0 0 0 2 0 0 0 0 0 0 0
"ENSG00000242807" 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0
"ENSG00000180773" 177 265 386 226 310 249 295 691 631 253 366 105 238 192 399 356 360 313 549 228
"ENSG00000255445" 4 7 3 12 8 4 6 4 13 2 11 0 0 2 7 3 0 13 14 0
"ENSG00000233737" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000255233" 0 0 0 0 1 0 0 0 0 1 0 0 0 1 0 0 0 0 0 0
"ENSG00000165325" 0 0 2 1 6 4 2 2 0 2 0 0 2 0 0 0 3 4 0 2
"ENSG00000221565" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000166002" 2102 757 2258 1403 2112 2663 1254 844 888 1759 4042 2112 1563 1761 940 1451 2018 2399 1274 1779
"ENSG00000234106" 3 2 5 1 2 2 0 2 1 0 0 3 2 0 7 0 3 2 2 3
"ENSG00000240202" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000255515" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000166004" 251 266 477 355 653 481 416 301 253 410 590 206 364 230 337 401 380 411 708 342
"ENSG00000199875" 0 0 0 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 1 0
"ENSG00000254911" 48 20 35 24 84 90 26 3 20 80 82 46 49 27 17 34 13 27 20 26
"ENSG00000166012" 1389 753 1770 1573 2024 1674 1682 2248 4872 1382 2031 1001 1677 1198 2229 2373 1510 1546 2703 1078
"ENSG00000202314" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000206834" 5 3 9 7 9 9 6 3 18 6 6 3 9 6 16 4 7 7 9 2
"ENSG00000207304" 27 18 21 37 37 29 25 24 130 34 49 16 34 31 39 41 32 39 65 9
"ENSG00000239195" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000207145" 3 1 8 8 7 6 7 3 11 4 10 3 7 9 12 10 4 6 9 7
"ENSG00000221170" 1 1 0 3 6 5 4 3 12 6 3 3 6 4 3 4 1 3 6 3
"ENSG00000182919" 5930 7120 11171 3477 5383 4688 4408 968 1552 5162 7066 3619 5243 3280 2248 4562 2305 5862 1808 3323
"ENSG00000042429" 384 320 530 390 847 582 558 788 532 665 800 459 554 412 391 752 531 502 805 502
"ENSG00000214376" 8 1 2 5 2 9 0 1 0 2 10 0 0 2 0 0 6 2 5 21
"ENSG00000206911" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000255995" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000256752" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000181333" 0 3 4 1 2 9 0 5 4 11 5 2 13 10 2 6 0 8 15 9
"ENSG00000227593" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000110218" 355 306 794 253 567 338 430 3027 3471 423 625 201 254 237 323 370 328 322 1441 489
"ENSG00000256745" 0 5 10 9 9 12 9 14 9 2 10 8 4 11 11 7 7 5 14 5
"ENSG00000250519" 8 0 0 0 0 2 2 17 5 2 4 0 1 0 0 2 0 5 1 0
"ENSG00000183560" 0 0 0 0 0 9 0 0 0 2 0 0 2 0 0 0 0 2 0 0
"ENSG00000123901" 12 2 16 8 22 24 60 2 18 38 9 10 14 12 12 12 4 12 12 135
"ENSG00000020922" 234 277 481 301 439 248 242 284 364 163 346 100 209 162 368 244 196 320 475 201
"ENSG00000221230" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000255893" 19 10 38 8 17 2 7 4 21 6 2 2 3 2 24 2 0 6 7 8
"ENSG00000168876" 404 249 503 319 676 547 569 364 297 646 772 332 506 308 385 612 439 410 523 529
"ENSG00000257057" 18 20 27 14 18 13 2 0 9 9 10 12 7 31 4 2 2 12 3 22
"ENSG00000134627" 32 31 107 67 57 103 41 16 28 95 75 47 44 42 11 69 87 57 69 191
"ENSG00000196371" 53 135 370 62 96 79 153 247 159 209 169 57 70 88 83 128 141 152 187 299
"ENSG00000233536" 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1
"ENSG00000255666" 1 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000255929" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000166025" 807 994 1977 668 1616 1002 1190 1059 830 1119 2302 593 1637 952 862 791 1144 1605 1255 639
"ENSG00000213368" 0 1 0 0 3 0 0 0 0 2 1 0 0 0 1 2 3 1 0 0
"ENSG00000256469" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000150316" 1391 1096 1704 970 1555 1418 1130 2158 1152 1472 1999 974 1290 1120 1452 1714 1734 1531 2031 858
"ENSG00000186280" 14 6 23 10 28 15 26 16 4 4 25 6 11 8 25 16 18 0 24 10
"ENSG00000255653" 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000235268" 1 2 0 0 0 0 0 0 0 0 0 0 1 3 0 0 0 2 1 8
"ENSG00000256779" 3 1 0 0 0 0 0 1 0 2 0 0 0 1 0 0 0 0 0 0
"ENSG00000257012" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000255855" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000149218" 173 435 929 400 254 243 337 787 243 665 517 198 415 180 247 582 547 327 839 683
"ENSG00000270689" 3 2 2 4 3 2 1 3 2 2 2 6 2 4 4 6 7 0 3 2
"ENSG00000270578" 4 0 2 2 0 0 0 0 1 6 2 2 0 3 2 6 7 0 0 2
"ENSG00000245552" 17 29 20 14 30 47 19 2 1 20 29 18 29 10 7 32 11 13 15 38
"ENSG00000149212" 765 860 423 327 1077 1482 758 106 142 608 1678 290 261 247 143 445 332 1178 360 984
"ENSG00000201204" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000250390" 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0
"ENSG00000255605" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000077458" 1719 1228 1475 1032 2954 1177 2304 536 816 834 3378 298 1694 734 1417 1514 1100 1644 1609 1105
"ENSG00000166037" 1352 1681 3643 1136 2888 1558 2722 1003 2861 1466 4638 705 2473 1027 2505 3010 2307 2043 3026 1774
"ENSG00000087053" 189 203 453 377 210 207 288 440 286 323 403 105 265 216 204 479 519 273 572 397
"ENSG00000222578" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"ENSG00000242993" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000184384" 62 138 249 284 156 160 97 71 70 305 193 77 84 150 51 241 240 196 172 334
"ENSG00000149231" 854 743 1143 813 1948 1387 2124 1236 741 1490 2431 649 1277 909 876 1092 1006 1165 1260 865
"ENSG00000183340" 430 127 146 213 592 522 480 408 94 476 486 291 467 207 212 370 236 246 331 385
"ENSG00000255679" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000200411" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000256684" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000254587" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000255376" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000255205" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000270753" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000255039" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000199315" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000255502" 0 0 0 0 0 0 0 0 0 0 1 4 0 0 0 2 0 0 0 0
"ENSG00000254555" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000216073" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000255380" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000254939" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000254599" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000254830" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000149972" 0 2 10 4 0 2 27 0 2 8 1 2 2 10 2 5 6 8 6 6
"ENSG00000223269" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000266616" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000255547" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000242165" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0
"ENSG00000255059" 2 0 0 4 0 2 2 1 0 5 0 3 3 3 0 0 0 1 0 0
"ENSG00000248027" 6 0 0 0 6 11 0 0 0 0 0 8 1 2 2 0 0 2 10 0
"ENSG00000165895" 355 476 548 524 581 378 555 383 832 588 977 309 494 447 250 585 375 674 536 380
"ENSG00000265208" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000200047" 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000170647" 246 278 292 242 409 224 454 117 335 417 688 259 286 251 174 359 215 353 253 209
"ENSG00000082175" 32 28 55 76 54 44 73 20 18 74 50 30 81 57 29 102 80 40 40 135
"ENSG00000255504" 0 2 0 2 0 0 2 0 0 1 3 2 2 2 0 5 0 0 0 2
"ENSG00000137672" 0 2 4 12 16 6 9 3 0 15 12 7 12 6 4 12 13 11 6 36
"ENSG00000263885" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000254506" 0 0 2 1 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 2
"ENSG00000254534" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000187151" 0 0 1 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000110318" 30 11 57 44 38 37 42 12 16 64 43 33 23 28 9 71 49 20 46 67
"ENSG00000137691" 0 0 6 2 6 2 4 6 0 4 6 2 0 4 2 3 4 0 0 6
"ENSG00000260008" 0 0 0 0 4 0 1 0 0 0 0 1 0 0 0 0 0 0 0 0
"ENSG00000137693" 1666 1556 3115 1637 1809 1672 1906 5246 4180 3201 4582 1172 3374 1710 1665 4972 2881 1718 3659 2364
"ENSG00000243777" 0 0 2 2 0 0 0 0 0 2 0 0 0 0 0 2 0 0 0 0
"ENSG00000270868" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000271600" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000212466" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000023445" 232 486 498 1496 482 535 300 3866 4109 701 766 166 502 661 267 3770 897 846 2692 896
"ENSG00000110330" 2385 1596 3137 1710 2845 3251 3209 1816 2956 2567 5858 1746 2957 2029 1505 2397 2219 2228 2431 2340
"ENSG00000152558" 8880 10071 16092 7348 10765 9553 17890 10962 10308 12786 26980 6095 10190 7377 5544 12183 12945 13358 20390 13703
"ENSG00000255337" 86 36 15 134 110 168 121 21 5 60 196 45 135 51 15 36 87 202 35 32
"ENSG00000255482" 0 8 0 2 0 2 0 0 2 0 6 0 0 2 0 0 0 2 0 0
"ENSG00000137673" 10 4 139 15 43 12 4 48 67 185 31 18 45 36 10 72 26 24 166 132
"ENSG00000137674" 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000256916" 0 1 0 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 0 2
"ENSG00000137675" 3 8 1 2 15 2 1 2 0 0 26 2 10 11 0 0 6 0 6 13
"ENSG00000118113" 0 16 19 2 20 0 19 87 27 4 15 2 16 4 21 18 24 6 35 32
"ENSG00000255282" 0 0 1 2 4 6 2 0 6 1 12 10 7 2 0 2 0 0 0 3
"ENSG00000225678" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000256254" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000166670" 0 2 0 0 0 6 0 1069 54 0 0 0 4 0 0 0 0 0 271 0
"ENSG00000196611" 0 4 0 2 10 0 2 105 24 4 0 1 0 1 2 2 2 0 8 0
"ENSG00000256035" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000149968" 2 0 4 8 3 2 4 443 99 4 8 2 2 4 4 3 1 0 100 4
"ENSG00000255469" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0
"ENSG00000238562" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000137745" 0 0 0 0 0 3 0 0 0 0 0 1 0 0 0 0 0 0 0 0
"ENSG00000239861" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000260966" 80 103 206 45 97 141 127 88 101 106 160 125 86 42 103 96 48 67 54 111
"ENSG00000137692" 255 207 594 191 308 343 228 1526 881 336 686 246 305 234 257 511 411 300 732 330
"ENSG00000187240" 71 65 150 99 126 153 81 69 32 136 217 83 125 47 77 175 97 126 182 172
"ENSG00000254895" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000254931" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000255417" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000255350" 2 3 2 1 2 0 1 0 0 1 0 0 1 0 0 1 0 3 1 5
"ENSG00000254565" 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 1 0 0 0
"ENSG00000253245" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0
"ENSG00000254824" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000254987" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0
"ENSG00000264200" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000170962" 84 115 271 238 148 95 103 24 73 461 81 45 85 138 46 161 158 119 145 370
"ENSG00000255548" 0 0 0 0 2 0 0 0 0 0 0 0 2 2 0 2 6 5 0 4
"ENSG00000170967" 1 0 0 0 0 0 0 0 0 0 0 2 0 0 2 0 4 2 4 0
"ENSG00000256422" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000270449" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000254569" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000204403" 6 0 4 8 6 1 0 0 8 17 4 4 7 5 4 3 1 2 5 7
"ENSG00000235505" 57 82 87 122 148 134 45 13 23 144 81 60 45 77 38 89 89 206 135 155
"ENSG00000196954" 594 868 1609 502 536 800 501 4697 6195 912 1327 432 1117 590 1409 1780 1318 915 2731 797
"ENSG00000137757" 0 4 7 0 0 0 5 7 5 3 4 0 2 2 4 38 3 6 8 0
"ENSG00000137752" 299 299 387 512 326 633 360 208 209 477 630 341 430 397 148 725 387 501 726 578
"ENSG00000204397" 76 109 109 210 92 135 74 48 62 106 202 50 109 69 12 315 214 195 148 218
"ENSG00000254750" 4 0 0 1 1 0 0 2 1 0 0 0 0 0 0 3 0 5 1 4
"ENSG00000255221" 0 1 0 0 0 5 1 0 0 0 0 0 0 0 0 4 0 4 0 3
"ENSG00000255430" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000255501" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000254998" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000254767" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000255336" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000152578" 2 7 4 0 4 4 11 0 5 6 4 5 5 4 4 0 0 3 1 2
"ENSG00000255403" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000222663" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000263371" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000252081" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000170903" 293 176 445 179 246 796 380 632 153 396 497 257 425 184 386 593 365 197 572 401
"ENSG00000182359" 127 136 106 127 200 140 198 57 27 163 270 104 131 94 69 128 147 185 116 121
"ENSG00000149313" 1000 763 1046 597 1092 1090 1240 1249 626 1238 1839 752 1052 591 906 1491 1006 1113 1152 880
"ENSG00000254433" 10 4 8 8 18 9 5 1 2 7 29 0 7 6 8 2 2 10 10 8
"ENSG00000254580" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000254811" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000255065" 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000152402" 196 195 261 523 132 141 294 34 204 317 611 61 311 106 101 453 442 274 262 331
"ENSG00000264542" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000213252" 2 1 0 2 0 0 0 0 0 0 0 0 2 0 0 0 0 2 0 0
"ENSG00000255353" 15 19 0 14 7 6 16 4 10 1 12 9 9 12 16 0 7 24 14 4
"ENSG00000261098" 102 70 104 65 101 105 107 40 48 131 181 64 141 54 79 121 93 91 73 75
"ENSG00000152404" 238 208 435 322 431 399 256 294 234 420 579 169 304 275 256 457 350 409 507 265
"ENSG00000225215" 0 3 0 0 10 2 5 2 0 10 2 6 2 0 0 1 0 0 1 0
"ENSG00000137760" 263 293 313 179 328 299 295 230 195 328 526 199 253 195 239 321 214 198 368 228
"ENSG00000270969" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000110675" 15 8 8 11 4 19 2 6 16 42 72 8 45 3 9 46 2 20 116 4
"ENSG00000255483" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000254758" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000170290" 4 5 14 8 4 14 6 4 8 10 16 2 34 14 3 17 3 14 13 2
"ENSG00000254702" 0 2 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000214305" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000110660" 16 7 56 44 31 20 15 44 30 40 26 6 28 19 10 34 26 30 22 68
"ENSG00000240652" 0 0 0 0 0 1 2 0 0 0 0 1 0 0 0 0 0 1 0 0
"ENSG00000179331" 3 13 9 6 2 0 0 4 0 2 2 0 0 2 2 9 8 2 8 0
"ENSG00000166266" 1263 1001 1762 805 1642 1505 1700 1408 1111 1417 2176 930 1416 932 1064 1738 1194 1192 1653 1314
"ENSG00000200855" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 1 0 0 0 0 0
"ENSG00000255467" 0 0 3 0 0 0 0 1 1 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000075239" 10016 14356 51198 5388 14695 14456 22256 19280 25540 18713 18775 9284 15162 19843 11627 13886 28794 18527 19668 9606
"ENSG00000149308" 313 328 538 473 473 404 569 441 439 404 657 304 453 319 360 511 474 449 702 387
"ENSG00000149311" 1595 1225 1911 1951 2096 1752 2332 1792 1150 2320 3163 995 2313 1309 1617 2245 1411 2245 1995 1170
"ENSG00000206967" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000166323" 48 27 20 82 50 56 23 30 22 35 60 35 21 29 11 27 32 62 48 27
"ENSG00000221607" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000178202" 511 637 889 629 926 735 659 602 323 1127 879 359 566 395 838 1018 1002 654 931 685
"ENSG00000110723" 495 324 1166 636 1956 1516 1344 86 436 1705 2688 2869 992 1119 384 966 656 1231 848 264
"ENSG00000178105" 358 232 705 326 263 431 270 1852 893 398 645 259 295 274 443 657 404 424 1390 287
"ENSG00000240698" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 3 0 0 0 0
"ENSG00000254730" 0 0 0 3 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0
"ENSG00000255379" 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0
"ENSG00000203334" 0 0 2 0 0 0 0 0 2 0 0 0 0 0 0 0 0 1 0 0
"ENSG00000255528" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000201243" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000200613" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000264997" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000255028" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000185742" 0 0 0 2 1 2 2 0 10 0 0 0 1 0 0 0 4 4 0 1
"ENSG00000254890" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000254482" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000254659" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000254798" 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0
"ENSG00000224776" 0 0 0 2 0 2 0 0 0 0 0 0 2 0 0 0 0 5 0 0
"ENSG00000270423" 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000255210" 0 0 0 0 0 1 0 0 0 0 0 1 0 0 0 0 0 0 2 0
"ENSG00000149289" 556 498 563 433 1221 651 838 247 188 646 1128 445 670 443 322 794 478 622 338 444
"ENSG00000137710" 3926 3100 4848 2231 3517 3863 4190 4348 3606 4808 6682 2580 3669 2181 2857 3918 3557 3055 5557 3044
"ENSG00000254416" 2 2 1 3 0 10 2 23 16 4 6 0 0 0 2 0 0 0 20 11
"ENSG00000137714" 2084 1468 3178 1219 2160 2666 2713 2840 2866 2362 3555 1732 2159 1630 2058 3069 2399 2351 2711 2355
"ENSG00000137727" 139 156 349 246 213 74 78 35 50 178 447 295 84 216 72 141 124 151 120 92
"ENSG00000233497" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000255149" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0
"ENSG00000200168" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000271390" 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000271584" 0 3 2 0 2 1 2 0 0 0 0 0 2 2 0 2 6 2 0 0
"ENSG00000239354" 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000270202" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"ENSG00000150750" 0 0 0 0 0 0 0 2 0 2 1 1 0 0 0 2 2 2 0 2
"ENSG00000196167" 47 113 148 30 81 20 52 67 30 132 85 33 41 88 81 23 49 22 55 91
"ENSG00000214290" 58 69 58 85 122 56 77 61 21 69 145 54 50 45 90 27 59 54 41 84
