"GTEX.11DXY.0526.SM.5EGGQ" "GTEX.11DXZ.0126.SM.5EGGY" "GTEX.11EQ9.0526.SM.5A5JZ" "GTEX.11GSP.0626.SM.5986T" "GTEX.11NUK.1226.SM.5P9GM" "GTEX.11NV4.1326.SM.5HL6V" "GTEX.11OF3.0726.SM.5BC4Z" "GTEX.11TT1.1726.SM.5EQLJ" "GTEX.11TUW.1726.SM.5BC5C" "GTEX.11WQC.0726.SM.5EQMR" "GTEX.11ZTS.1426.SM.5EQMM" "GTEX.11ZUS.2526.SM.59872" "GTEX.11ZVC.0726.SM.5FQT9" "GTEX.1212Z.0226.SM.59HLF" "GTEX.12696.0826.SM.5EGGE" "GTEX.1269C.0626.SM.5FQSS" "GTEX.12KS4.1326.SM.5LUB3" "GTEX.12WSD.1426.SM.5GCN9" "GTEX.12WSG.0626.SM.5FQTQ" "GTEX.12WSI.0226.SM.5GCNA"
"ENSG00000217801" 45 21 78 64 36 21 17 44 200 40 127 23 30 37 10 11 48 23 42 234
"ENSG00000273443" 8 3 12 11 4 0 6 8 19 2 20 3 4 6 5 1 2 9 3 38
"ENSG00000237330" 2 6 1 8 4 4 5 3 9 5 3 11 9 3 11 0 3 12 4 6
"ENSG00000131591" 483 467 602 596 910 1179 539 531 694 493 890 532 514 485 926 817 592 718 1108 574
"ENSG00000223823" 3 4 1 9 3 7 14 1 6 9 14 14 9 8 2 3 2 3 4 12
"ENSG00000207730" 1 0 0 0 1 0 0 0 0 0 0 1 0 1 1 0 0 1 1 0
"ENSG00000207607" 2 0 0 0 0 0 0 0 1 0 1 0 0 0 0 0 0 1 0 1
"ENSG00000198976" 0 0 1 0 0 0 0 1 1 0 0 0 1 1 0 0 0 0 0 1
"ENSG00000272141" 28 28 109 28 31 23 6 6 26 49 8 16 21 18 6 7 13 16 7 144
"ENSG00000205231" 8 3 1 10 5 10 5 1 3 4 8 16 9 5 4 4 2 4 7 4
"ENSG00000162571" 4 12 6 12 8 11 7 4 5 9 9 16 9 5 8 7 6 12 9 23
"ENSG00000186891" 12 17 11 34 31 31 9 4 44 13 14 21 15 8 6 58 25 11 19 29
"ENSG00000186827" 11 21 7 26 21 29 16 6 16 29 12 13 19 32 8 17 40 39 31 53
"ENSG00000078808" 6138 5410 10332 4524 8083 7251 4570 9978 6409 7341 9570 6415 5342 6406 5444 6322 6079 6589 9828 5306
"ENSG00000176022" 785 311 703 434 732 990 438 1519 918 871 1105 761 613 546 1147 810 674 594 1589 765
"ENSG00000184163" 70 36 21 61 81 57 73 25 44 54 70 71 34 33 32 54 30 41 30 30
"ENSG00000260179" 33 13 27 25 37 10 32 15 52 17 28 27 26 8 17 15 19 16 65 20
"ENSG00000160087" 1758 921 1994 1186 2302 2133 1143 2309 1902 2068 2500 2088 1691 1248 1501 1891 1769 1472 2468 1421
"ENSG00000230415" 114 33 47 45 98 117 45 41 2 49 53 56 58 42 15 39 24 48 21 23
"ENSG00000162572" 1565 750 593 1223 2299 2227 1132 519 150 889 902 1472 946 767 142 602 671 863 466 808
"ENSG00000131584" 3053 1591 2797 3388 3796 3815 2269 1273 1081 2500 4316 2495 2658 1998 2213 2172 2506 2594 2690 2925
"ENSG00000169972" 309 212 393 321 260 325 206 588 398 295 455 240 249 303 355 240 469 290 533 258
"ENSG00000127054" 2975 2088 3657 3126 5345 4039 2587 4645 2842 2999 4531 2489 3510 2781 3188 3277 2912 3544 5684 2196
